ID	english	romanian	portuguese
1	Clear sky	Cer senin	
2	Fair	Vreme bună	
3	Partly cloudy	Parțial înnorat	
4	Cloudy	Înnorat	
5	Rain showers	Averse de ploaie 	
6	Rain showers and thunder	Averse de ploaie și tunete	
7	Sleet showers	Averse de lapoviță 	
8	Snow showers	Averse de zăpadă	
9	Rain	Ploaie 	
10	Heavy rain	Ploaie abundentă	
11	Heavy rain and thunder	Ploaie abundentă și tunete	
12	Sleet	Lapoviță 	
13	Snow	Zăpadă 	
14	Snow and thunder	Zăpadă și tunete	
15	Fog	Ceață	
20	Sleet showers and thunder	Averse de lapoviță și tunete	
21	Snow showers and thunder	Averse de zăpadă și tunete	
22	Rain and thunder	Ploaie și tunete	
23	Sleet and thunder	Lapoviță abundentă și tunete	
24	Light rain showers and thunder	Averse ușoare de ploaie și tunete	
25	Heavy rain showers and thunder	Averse abundente de ploaie și tunete	
26	Lights sleet showers and thunder	Averse ușoare de lapoviță și tunete	
27	Heavy sleet showers and thunder	Averse abundente de lapoviță și tunete	
28	Lights snow showers and thunder	Averse ușoare de zăpadă și tunete	
29	Heavy snow showers and thunder	Averse abundente de zăpadă și tunete	
30	Light rain and thunder	Ploaie ușoară și tunete	
31	Light sleet and thunder	Lapoviță ușoară și tunete	
32	Heavy sleet and thunder	Lapoviță abundentă și tunete	
33	Light snow and thunder	Zăpadă ușoară	
34	Heavy snow and thunder	Zăpadă abundentă și tunete	
40	Light rain showers	Averse ușoare de ploaie 	
41	Heavy rain showers	Averse abundente de ploaie	
42	Light sleet showers	Averse ușoare de lapoviță 	
43	Heavy sleet showers	Averse abundente de lapoviță 	
44	Light snow showers	Averse ușoare de zăpadă	
45	Heavy snow showers	Averse abundente de zăpadă	
46	Light rain	Ploaie ușoară	
47	Light sleet	Lapoviță ușoară	
48	Heavy sleet	Lapoviță abundentă	
49	Light snow	Zăpadă ușoară	
50	Heavy snow	Zăpadă abundentă	
